Comment,Designator,Footprint,LCSC Part Number
1N4148W,D1,D_SOD-123,C81598
0.1u,"C8,C7,C6,C4,C5,C11,C9",C_0603_1608Metric,C14663
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
MCP41010,"U2,U7,U3,U4,U5,U6",SOIC-8_3.9x4.9mm_P1.27mm,C136395
1k,"R3,R2",R_0603_1608Metric,C21190
22p,"C1,C3",C_0603_1608Metric,C1653
10u,C10,C_0603_1608Metric,C19702
1n,C2,C_0603_1608Metric,C1588
MMBT3904,Q1,SOT-23,C20526
10,R1,R_0603_1608Metric,C22859
